"English","Welsh"
"Hearings in the Royal Courts of Justice and the Rolls Building","gwrandawiadau yn yr Llys Barn Brenhinol a'r Adeilad Rolls"
"Upper Tribunal (Immigration and Asylum) Chamber - Judicial Review: Bristol and Cardiff Daily Hearing List","Uwch Dribiwnlys (Mewnfudo a Lloches) â Rhestr o Wrandawiadau Dyddiol Siambr Adolygiadau Barnwrol Bryste a Chaerdydd"
"Possession Claim Online Daily Cause List","Rhestr Achosion Dyddiol Hawliadau Meddiant Ar-lein"
"Criminal Injuries Compensation (CIC) Tribunal","Tribiwnlys Digolledu am Anafiadau Troseddol (CIC)."
"CIC Daily Hearing List","Rhestr Gwrandawiadau Dyddiol CIC"
"Criminal Injuries Compensation Weekly Hearing List","Rhestr Gwrandawiadau Wythnosol y Tribiwnlys Digolledu am Anafiadau Troseddol"
"Venue/Platform","Lleoliad/ Platfform"
"Restricted reporting order.","gorchymyn adrodd cyfyngedig."
"Criminal Injuries Compensation Tribunal parties and representatives will be informed directly as to the arrangements for hearing cases remotely. Any other person interested in joining the hearing remotely should contact the Criminal Injuries Compensation Tribunal Office direct, in advance of the hearing date, by emailing  CIC.enquiries@Justice.gov.uk so that arrangements can be made. The following details should be included in the subject line of the email [OBSERVER/MEDIA] REQUEST â [AN Other v CICA] â [hearing date]. If the case is to be heard in private or is subject to a reporting restriction, this will be notified.","Bydd part'on a chynrychiolwyr y Tribiwnlys Digolledu am Anafiadau Troseddol yn cael gwybod yn uniongyrchol am y trefniadau ar gyfer gwrando achosion o bell. Dylai unrhyw un arall sydd â diddordeb mewn ymuno 'r gwrandawiad o bell gysylltu â Swyddfa'r Tribiwnlys Digolledu am Anafiadau Troseddol yn uniongyrchol, cyn dyddiad y gwrandawiad, trwy e-bostio (insert relevant office mailbox email address) fel y gellir gwneud trefniadau. Dylai'r manylion canlynol gael eu cynnwys yn llinell pwnc yr e-bost [OBSERVER/MEDIA] REQUEST â [AN Other v CICA] â [hearing date]. Os yw'r achos yn cael ei wrando yn breifat neu os yw'n destun cyfyngiad adrodd, bydd hyn yn cael ei nodi."
"The inclusion of a case in the Press List is no guarantee that it is not subject to a restricted reporting order. Members of the press should ensure that no order exists on an individual case before submitting material for publication.","Nid yw'r ffaith bod achos wedi ei gynnwys yn Rhestr y Wasg yn gwarantu na fydd yn destun gorchymyn adrodd cyfyngedig. Dylai aelodau'r Wasg sicrhau nad oes gorchymyn yn bodoli ar achos unigol cyn cyflwyno deunydd i'w gyhoeddi."
"For more information, please visit https://www.gov.uk/guidance/observe-a-court-or-tribunal-hearing","Am fwy o wybodaeth, ewch I https://www.gov.uk/guidance/observe-a-court-or-tribunal-hearing"
"When considering the use of telephone and video technology, the judiciary will have regard to the principles of open justice. Judges may determine that a hearing should be held in private if this is necessary to secure the proper administration of justice.","Wrth ystyried defnyddio technoleg ff'n a fideo, bydd y farnwriaeth yn rhoi sylw i egwyddorion cyfiawnder agored. Gall barnwyr benderfynu cynnal gwrandawiad yn breifat os oes angen hynny er mwyn sicrhau'r broses o weinyddu cyfiawnder yn briodol."
"The inclusion of a case in the Press List is no guarantee that it is not subject to a restricted reporting order. Members of the press should ensure that no order exists on an individual case before submitting material for publication.","Nid yw'r ffaith bod achos wedi ei gynnwys yn Rhestr y Wasg yn gwarantu na fydd yn destun gorchymyn adrodd cyfyngedig. Dylai aelodau'r Wasg sicrhau nad oes gorchymyn yn bodoli ar achos unigol cyn cyflwyno deunydd i'w gyhoeddi."
"Open justice is a fundamental principle of our justice system.","Mae cyfiawnder agored yn egwyddor sylfaenol ein system gyfiawnder."
"CIC Weekly Hearing List","Rhestr Gwrandawiadau Wythnosol y CIC"
"Criminal Injuries Compensation Weekly Hearing List","Rhestr Gwrandawiadau Wythnosol y Tribiwnlys Digolledu am Anafiadau Troseddol"
"Magistrates Public Adult Court List â Daily","Rhestr Achosion Cyhoeddus Llys Ynadon (Oedolion) - Dyddiol"
"Listing time","Amser rhestru"
"Magistrates Public Adult Daily Court List","Rhestr Achosion Dyddiol Cyhoeddus y Llys Ynadon â Oedolion"
"Magistrates Adult Court List - Daily","Rhestr Llys Ynadon Oedolion - Dyddiol"
"Magistrates Adult Court List - Future","Rhestr Llys Ynadon Oedolion â Dyfodol"
"Session start","Amser Cychwyn y Sesiwn"
"Block Start","Amser Cychwyn y Bloc"
"Informant","Hysbysydd"
"Offence Code","Cod y Drosedd"
"Offence Summary","Crynodeb o'r Drosedd"
"CROWN_DAILY_PDDA_LIST","Rhestr Ddyddiol Llys y Goron - PDDA"
"CROWN_WARNED_PDDA_LIST","Rhestr Rybudd Llys y Goron- PDDA"
"Representation","Cynrychiolaeth"
"Fixed for","Rhestrwyd ar gyfer"
"For trial","Ar gyfer treial"
"For sentence","Ar gyfer dedfrydu"
"For appeal","Ar gyfer apêl"
"Listing notes","Nodiadau rhestru"
"Cadriff Administrative Court","Llys Gweinyddol Chaerdydd"
"Administrative Court","Llys Gweinyddol"
"Manchester Administrative Court","Llys Gweinyddol Manceinion"
"Birmingham Administrative Court","Llys Gweinyddol Birmingham"
"Leeds Administrative court","Llys Gweinyddol Leeds"
"Carlisle Combined Court","Llys Cyfun Carlisle"
"Carlisle Magistrates' Court","Llys Ynadon Carlisle"
"West Cumbria Courthouse","Adeilad Llys Gorllewin Cymbria"
"Barrow-in-Furness Magistrates' and County Court","Llys Ynadon a Llys Sirol Barrow-in-Furness"
"Lancaster Magistrates and County Court (Lancaster Courthouse)","Llys Ynadon a Llys Sirol Caerhirfryn (Adeilad Llys Caerhirfryn)"
"Leyland Family Hearing Centre","Canolfan Wrandawiadau Teulu Leyland"
"Preston Combined Court","Llys Cyfun Preston"
"Preston Crown Court and Family Court","Llys y Goron a Llys Teulu Preston"
"Preston Magistrates' Court","Llys Ynadon Preston"
"Fleetwood Magistrates' Court","Llys Ynadon Fleetwood"
"Reedley Family Hearing Centre","Canolfan Wrandawiadau Teulu Reedley"
"Burnley Combined Court Centre","Canolfan Llys Cyfun Burnley"
"Blackburn Family Court","Llys Teulu Blackburn"
"Birkenhead County Court","Llys Sirol Penybircwy"
"Chester Civil and Family Justice Centre","Canolfan Sifil a Theulu Caer"
"Crewe Magistrates & County Court","Llys Ynadon a Llys Sifil Crewe"
"St Helens County Court and Family Court","Llys Sirol a Llys Teulu Santes Helen"
"Liverpool Civil and Family Court","Llys Sifil a Theulu Lerpwl"
"Liverpool Queen Elizabeth II Law Courts","Llysoedd Barn Elizabeth II Lerpwl"
"Offence Details","Manylion yr Trosedd"
"Sheffield Combined Court Centre","Canolfan Llysoedd Cyfun Sheffield"
"Sheffield Designated Family Court","Llys Teulu Dynodedig Sheffield"
"Sheffield Magistrates Court and Family Court","Llys Ynadon a Llys Teulu Sheffield"
"Doncaster Justice Centre South","Canolfan Gyfiawnder De Doncaster"
"Barnsley Law Courts","Llysoedd Barn Barnsley"
"Beverly Magistrates Court and Hearing Centre","Llys Ynadon a Chanolfan Wrandawiadau Beverly"
"Bridlington Magistrates Court and Hearing Centre","Llys Ynadon a Chanolfan Wrandawiadau Bridlington"
"Kingston-upon-Hull Combined Court Centre","Canolfan Llysoedd Cyfun Kingston-upon-Hull"
"Hull and Holderness Magistrates Court and Hearing Centre","Llys Ynadon a Chanolfan Wrandawiadau Hull a Holderness"
"Great Grimsby Combined Court Centre","Canolfan Llysoedd Cyfun Grimsby Fwyaf"
"Grimsby Magistrates Court and Family Court","Llys Ynadon a Llys Teulu Grimsby"
"Canterbury Combined Court Centre","Canolfan Llysoedd Cyfun Caergaint"
"Canterbury Magistrates Court","Llys Ynadon Caergaint"
"Dartford County court and Family Court","Llys Sirol a Llys Teulu Dartford"
"Maidstone Combined Court Centre","Canolfan Llysoedd Cyfun Maidstone"
"Maidstone Magistrates' Court","Llys Ynadon Maidstone"
"Medway County Court and Family Court","Llys Sirol a Llys Teulu Medway"
"Medway (Chatham) Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Medway (Chatham)"
"Thanet County Court and Family Court","Llys Sirol a Llys Teulu Thanet"
"Ashford Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Ashford"
"Sevenoaks Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Sevenoaks"
"Find contact details and other information about courts and tribunals in England and Wales, and some non-devolved tribunals in Scotland","Dod o hyd i fanylion cyswllt a gwybodaeth arall am lysoedd a thribiwnlysoedd yng Nghymru a Lloegr, a rhai tribiwnlysoedd heb eu datganoli yn yr Alban"
"If you're in Scotland or Northern Ireland","Os ydych yn byw yn Yr Alban neu Gogledd Iwerddon"
"Contact the","Cysylltwch "
"Scottish Courts website for courts and some tribunals in Scotland","gwefan Llysoedd Yr Alban ar gyfer rhai Llysoedd a Thribiwnlysoedd yn Yr Alban"
"Northern Ireland Courts and Tribunals Service for courts and tribunals in Northern Ireland","Gwasanaeth Llysoedd a Thribiwnlysoedd Gogledd Iwerddon ar gyfer llysoedd a thribiwnlysoedd yng Ngogledd Iwerddon"
"includes","cynnwys"
"it includes","Mae'n cynnwys"
"For example, Oxford Combined Court Centre","Er enghraifft, Oxford Combined Court Centre"
"Select from an A-Z list of courts and tribunals","Dewis o restr A-Y o lysoedd a thribiwnlysoedd"
"What court or tribunal are you interested in","Ym mha lys neu dribiwnlys y mae gennych ddiddordeb"
"Teesside Combined Court Centre","Canolfan Llysoedd Cyfun Teeside"
"Teesside Magistrates' Court","Llys Ynadon Teeside"
"Darlington County Court and Family Court","Llys Sirol a Llys Teulu Darlington"
"Darlington Magistrates' Court and Family court","Llys Ynadon a Llys Teulu Darlington"
"Newton Aycliffe Magistrates' Court","Llys Ynadon Newton Aycliffe"
"Durham County Court and Family Court","Llys Sirol a Llys Teulu Durham"
"Peterlee Magistrates' Court","Llys Ynadon Peterlee"
"Sunderland County, Family, Magistrates and Tribunal Hearings","Gwrandawiadau Sirol, Teulu, Ynadon a Thribiwnlys Sunderland"
"South Shields Combined Court","Llys Cyfun South Shields"
"Gateshead County Court and Family Court","Llys Sirol a Llys Teulu Gateshead"
"North Shields County Court and Family Court","Llys Sirol a Llys Teulu North Shields"
"North Tyneside Magistrates' Court","Llys Ynadon Gogledd Tyneside"
"Newcastle Civil & Family Courts and Tribunals Centre","Llysoedd Sifil a Theulu a Chanolfan Tribiwnlysoedd Newcastle"
"Newcastle upon Tyne Crown Court and Magistrates' Court","Llys y Goron a Llys Ynadon Newcastle Upon Tyne"
"Newcastle Moot Hall","Moot Hall Newcastle"
"Mid and South East Northumberland Law Courts","Llysoedd Barn Canol a De Ddwyrain Northumberland"
"Berwick upon Tweed Magistrates' Court","Llys Ynadon Berwick upon Tweed"
"Hearings in Civil and Family Courts in the South East, South West (excluding Bristol), Wales and some courts in the Midlands (Birmingham), North East and North West regions","Gwrandawiadau yn y Llysoedd Sifil a'r Llysoedd Teulu yn Ne-ddwyrain Lloegr, De-orllewin Lloegr (gan eithrio Bryste), Cymru, a rhai llysoedd yng Canolbarth Lloegr (Birmingham), Ngogledd-ddwyrain a Gogledd-orllewin Lloegr"
"Central Family Court","Llys Teulu Canolog"
"Royal Courts of Justice","Llysoedd Barn Brenhinol"
"Barnet Civil and Family Courts Centre","Canolfan Llysoedd Sifil a Theulu Barnet"
"Brentford County and Family Court","Llys Sirol a Llys Teulu Brentford"
"Bromley County Court and Family Court","Llys Sirol a Llys Teulu Bromley"
"Bromley Magistrates' Court","Llys Ynadon Bromley"
"Bexley Magistrates' Court","Llys Ynadon Bexley"
"City of London Magistrates' Court","Llys Ynadon Dinas Llundain"
"Clerkenwell and Shoreditch County Court and Family Court","Llys Sirol a Llys Teulu Clerkenwell a Shoreditch"
"Croydon County Court and Family Court","Llys Sirol a Llys Teulu Croydon"
"Croydon Magistrates' Court","Llys Ynadon Croydon"
"East London Family Court","Llys Teulu Dwyrain Llundain"
"Edmonton County Court and Family Court","Llys Sirol a Llys Teulu Edmonton"
"Kingston Upon Thames County Court and Family Court","Llys Sirol a Llys Teulu Kingston-upon-Thames"
"Mayor's and City of London Court","Llys Maer a Dinas Llundain"
"Romford County Court and Family Court","Llys Sirol a Llys Teulu Romford"
"Romford Magistrates' Court (formerly Havering Magistrates' Court)","Llys Ynadon Romford (Llys Ynadon Havering gynt)"
"Stratford Combined Court Centre","Canolfan Llysoedd Cyfun Stafford"
"Uxbridge County Court and Family Court","Llys Sirol a Llys Teulu Uxbridge"
"Uxbridge Magistrates' Court","Llys Ynadon Uxbridge"
"Wandsworth County Court and Family Court","Llys Sirol a Llys Teulu Wandsworth"
"West London Family Court","Llys Teulu Gorllewin Llundain"
"Willesden County Court and Family Court","Llys Sirol a Llys Teulu Willesden"
"Westminster Magistrates' Court","Llys Ynadon San Steffan"
"Barkingside Magistrates' Court","Llys Ynadon Barkingside"
"Croydon Nightingale Court","Llys Nightingale Croydon"
"Hearings in Civil and Family Courts in England and Wales.","Gwrandawiadau yn y Llysoedd Sifil a'r Llysoedd Teulu yn Llundain a'r Cymru"
"District","Rhanbarth"
"Bradford Combined Court Centre","Canolfan Llysoedd Cyfun Bradford"
"Bradford and Keighley Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Bradford a Keighley"
"Harrogate Justice Centre","Canolfan Gyfiawnder Harrogate"
"Huddersfield County Court and Family Court","Llys Sirol a Llys Teulu Huddersfield"
"Kirklees (Huddersfield )Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Kirklees (Huddersfield)"
"Leeds Combined Court Centre","Canolfan Llysoedd Cyfun Leeds"
"Leeds District Magistrates' Court and Family Court","Llys Ynadon a Llys Teulu Rhanbarth Leeds"
"Scarborough Justice Centre","Canolfan Gyfiawnder Scarborough"
"Skipton County Court and Family Court","Llys Sirol a Llys Teulu Skipton"
"Skipton magistrates Court","Llys Ynadon Skipton"
"Wakefield Civil and Family Justice Centre","Canolfan Gyfiawnder Sifil a Theulu Wakefield"
"York County Court and Family Court","Llys Sirol a Llys Teulu Efrog"
"York County Court","Llys Sirol Efrog"
"York Magistrate Court","Llys Ynadon Efrog"
"Bradford Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Bradford"
"Leeds Social Security and Child Support Tribunal","Tribiwnlys Nawdd Cymdeithasol a Chynnal Plant Leeds"
"Leeds Tribunal Business Property Court","Tribiwnlys a Llys Busnes ac Eiddo Leeds"
"Venue Name","Enw'r Lleoliad"
"Name","Enw'r"
"Address","Cyfeiriad"
"Reference","Cyfeirnod"
"Legislation","Deddfwriaeth"
"Max Penalty","Cosb Uchaf"
"Local Justice Area  (LJA)","Ardal Cyfiawnder Lleol"
"Application Type","Math o Gais"
"Prosecuting Authority Name","Enw'r Awdurdod sy'n Erlyn"
